"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL236339";"";"None";"238.76";"0";"4.23";"8c";"CCCCCCc1ccc(C(=O)CCl)cc1";"IC50";"'='";"23100.0";"nM";"4.64";"";"";"UO_0000065";"19.42";"0.40";"0.41";"27.16";"0";"CHEMBL900770";"Displacement of labeled SRC2-2 from human TRbeta expressed in BL21 (DE3) cells FP assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BL21-DE3";"None";"";"";"";"CHEMBL1947";"Thyroid hormone receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137577";"1";"Scientific Literature";"J Med Chem";"2007";"None";"";"";"";"23.1"
"CHEMBL202336";"";"None";"517.25";"2";"7.33";"87";"CCCC(CCC)C(=O)Nc1ccc(Oc2c(Cl)cc(CC(=O)O)cc2Cl)cc1Br";"IC50";"'='";"44.67";"nM";"7.35";"";"";"UO_0000065";"14.21";"0.33";"0.02";"9.72";"1";"CHEMBL898226";"Inhibition of human thyroid hormone receptor beta 1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1947";"Thyroid hormone receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149596";"1";"Scientific Literature";"Bioorg Med Chem";"2007";"None";"";"";"";"7.35"
"CHEMBL428375";"";"None";"397.65";"1";"7.35";"3j";"CCCCCCc1ccc(C(=O)CCN(C2CCCCC2)C2CCCCC2)cc1";"IC50";"'='";"12700.0";"nM";"4.90";"";"";"UO_0000065";"12.31";"0.23";"-2.45";"24.11";"0";"CHEMBL900770";"Displacement of labeled SRC2-2 from human TRbeta expressed in BL21 (DE3) cells FP assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BL21-DE3";"None";"";"";"";"CHEMBL1947";"Thyroid hormone receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137577";"1";"Scientific Literature";"J Med Chem";"2007";"None";"";"";"";"12.7"
"CHEMBL560172";"";"None";"277.41";"0";"3.78";"9";"CCCCCCOc1ccc(C(=O)CCN(C)C)cc1";"IC50";"'='";"16500.0";"nM";"4.78";"";"";"UO_0000065";"17.24";"0.33";"1.00";"16.19";"0";"CHEMBL1034533";"Inhibition of SRC2 binding to human TRbeta receptor ligand binding domain expressed in Escherichia coli BL21 (DE3) by fluorescence polarization assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1947";"Thyroid hormone receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151935";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";"";"16.5"
"CHEMBL4202476";"";"None";"353.37";"0";"4.02";"5a";"COC(=O)c1cccc(OCc2oc(-c3ccccc3OC)nc2C)c1";"IC50";"'='";"9800.0";"nM";"5.01";"";"";"UO_0000065";"14.17";"0.26";"0.99";"7.08";"0";"CHEMBL4184935";"Antagonist activity at CMV-fused TRbeta-LBD-GAL4-DBD (unknown origin) expressed in HEK293T cells assessed as inhibition of T3-induced receptor transactivation after 16 hrs by bright-Glo luciferase reporter gene assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1947";"Thyroid hormone receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4184110";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2018";"None";"";"";"";"9.8"
"CHEMBL291053";"THYROPROPIC ACID";"2.0";"635.96";"2";"5.02";"5";"O=C(O)CCc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1";"IC50";"'='";"0.019";"nM";"10.72";"";"";"UO_0000065";"16.86";"0.67";"5.70";"16.06";"0";"CHEMBL814601";"Concentration required to inhibit 50% of I-T3 binding to hTR1 (Thyroid hormone receptor beta) was determined";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1947";"Thyroid hormone receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136772";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";"";"0.019"
"CHEMBL557";"DETROTHYRONINE";"2.0";"650.98";"1";"3.95";"2";"N[C@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O";"IC50";"'='";"0.26";"nM";"9.59";"";"";"UO_0000065";"14.72";"0.57";"5.64";"10.33";"0";"CHEMBL814601";"Concentration required to inhibit 50% of I-T3 binding to hTR1 (Thyroid hormone receptor beta) was determined";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1947";"Thyroid hormone receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136772";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";"";"0.26"
"CHEMBL236499";"";"None";"561.24";"2";"5.74";"7";"CC(C)c1cc(Oc2c(Br)cc(CC(=O)N[C@H](C(=O)O)C(C)C)cc2Br)cc(F)c1O";"IC50";"'='";"12.0";"nM";"7.92";"";"";"UO_0000065";"14.11";"0.35";"2.18";"8.26";"0";"CHEMBL896601";"Binding affinity at human thyroid hormone receptor beta-1 expressed in CHOK1 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL1947";"Thyroid hormone receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149545";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3307512";"";"";"";"12.0"
"CHEMBL236080";"";"None";"501.17";"1";"4.58";"3a";"CC(C)c1cc(Oc2c(Br)cc(CC(=O)NCC(=O)O)cc2Br)ccc1O";"IC50";"'='";"2.7";"nM";"8.57";"";"";"UO_0000065";"17.10";"0.43";"3.99";"8.94";"0";"CHEMBL896601";"Binding affinity at human thyroid hormone receptor beta-1 expressed in CHOK1 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL1947";"Thyroid hormone receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149545";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3307512";"";"";"";"2.7"
"CHEMBL2070096";"";"None";"499.49";"0";"4.41";"2{4,1,14}";"CN(Cc1ccccc1)C(=O)c1sc(-c2ccc(S(C)(=O)=O)c([N+](=O)[O-])c2)nc1C(F)(F)F";"IC50";"'='";"3300.0";"nM";"5.48";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2072982";"Antagonist activity at human TRbeta assessed as inhibition of interaction with SRC2-2 after 3 hrs by fluorescence polarisation assay";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1947";"Thyroid hormone receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2069280";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";"3.3"
